Company,Ticker,PE,EPS,ROE,DebtEquity,RevenueGrowth
Aptech Limited,APTECHT.NS,25.347595,3.74,0.090299994,5.75,0.066
Aptus Value Housing Finance India Limited,APTUS.NS,16.670622,16.85,0.19451,157.024,0.243
Archidply Industries Limited,ARCHIDPLY.NS,130.53622,0.69,0.01277,178.165,0.35
Archies Limited,ARCHIES.NS,,-0.31,-0.00786,33.451,-0.089
Amara Raja Energy & Mobility Limited,ARE&M.NS,18.695917,49.23,0.12014,4.005,0.067
Rajdarshan Industries Limited,ARENTERP.NS,,-0.64,-0.00856,,-0.755
Arfin India Limited,ARFIN.NS,165.85716,0.42,0.045110002,92.774,-0.142
Aries Agro Limited,ARIES.NS,10.997943,29.16,0.122980006,20.67,0.041
Arihant Capital Markets Limited,ARIHANTCAP.NS,21.820576,4.18,0.11662,51.095,-0.28
Arihant Superstructures Limited,ARIHANTSUP.NS,23.533861,13.88,0.16219999,197.85,0.097
Arisinfra Solutions Limited,ARISINFRA.NS,65.04902,2.04,,7.91,0.384
Arkade Developers Limited,ARKADE.NS,16.114119,8.5,0.17731,18.386,0.308
Arman Financial Services Limited,ARMANFIN.NS,,-1.06,-0.00125,137.292,0.17
Aro Granite Industries Limited,AROGRANITE.NS,,-1.61,-0.013099999,80.851,-0.291
Arrow Greentech Limited,ARROWGREEN.NS,15.364121,33.78,0.26816,1.218,-0.058
Arshiya Limited,ARSHIYA.NS,,-106.98,,,0.028
Anand Rathi Share and Stock Brokers Limited,ARSSBL.NS,43.61053,14.43,,94.882,-0.086
Artemis Medicare Services Limited,ARTEMISMED.NS,120.19651,2.29,0.11229,31.431,0.138
Art Nirman Limited,ARTNIRMAN.NS,60.837498,0.8,0.03827,52.666,-0.202
Arvee Laboratories (India) Limited,ARVEE.NS,683.0833,0.36,0.01291,3.29,-0.725
Arvind Limited,ARVIND.NS,19.777071,15.7,0.11231,39.143,0.084
Arvind Fashions Limited,ARVINDFASN.NS,,-1.08,0.04823,102.338,0.113
